sector,subsector_level1,subsector_level2,subsector_level3
ENERGY,Stationary Combustion Sources,Public Electricity and Heat Production ,
ENERGY,Stationary Combustion Sources,Petroleum Refining Industries  ,
ENERGY,Stationary Combustion Sources,Mining and Upstream Oil and Gas Production  ,
ENERGY,Stationary Combustion Sources,Manufacturing Industries,
ENERGY,Stationary Combustion Sources,Construction,
ENERGY,Stationary Combustion Sources,Commercial and Institutional,
ENERGY,Stationary Combustion Sources,Residential,
ENERGY,Stationary Combustion Sources,Agriculture and Forestry,
ENERGY,Transport,Domestic Aviation,
ENERGY,Transport,Road Transportation,Light-Duty Gasoline Vehicles
ENERGY,Transport,Road Transportation,Light-Duty Gasoline Trucks
ENERGY,Transport,Road Transportation,Heavy-Duty Gasoline Vehicles
ENERGY,Transport,Road Transportation,Motorcycles
ENERGY,Transport,Road Transportation,Light-Duty Diesel Vehicles
ENERGY,Transport,Road Transportation,Light-Duty Diesel Trucks
ENERGY,Transport,Road Transportation,Heavy-Duty Diesel Vehicles
ENERGY,Transport,Road Transportation,Propane and Natural Gas Vehicles
ENERGY,Transport,Railways,
ENERGY,Transport,Domestic Navigation,
ENERGY,Transport,Other Transportation,Off-Road Gasoline
ENERGY,Transport,Other Transportation,Off-Road Diesel
ENERGY,Transport,Other Transportation,Pipeline Transport 
ENERGY,Fugitive Sources,Coal Mining ,
ENERGY,Fugitive Sources,Oil and Natural Gas,
ENERGY,CO2 Transport and Storage ,,
INDUSTRIAL PROCESSES & PRODUCT USE,Mineral Products,Cement Production,
INDUSTRIAL PROCESSES & PRODUCT USE,Mineral Products,Lime Production,
INDUSTRIAL PROCESSES & PRODUCT USE,Mineral Products,Mineral Products Use,
INDUSTRIAL PROCESSES & PRODUCT USE,Chemical Industry,Nitric Acid Production,
INDUSTRIAL PROCESSES & PRODUCT USE,Chemical Industry,Adipic Acid Production,
INDUSTRIAL PROCESSES & PRODUCT USE,Chemical Industry,Petrochemical Production,
INDUSTRIAL PROCESSES & PRODUCT USE,Metal Production,Iron and Steel Production,
INDUSTRIAL PROCESSES & PRODUCT USE,Metal Production,Aluminum Production,
INDUSTRIAL PROCESSES & PRODUCT USE,Metal Production,SF6 Used in Magnesium Smelters and Casters,
INDUSTRIAL PROCESSES & PRODUCT USE,"Production and Consumption of Halocarbons, SF6 and NF3",,
INDUSTRIAL PROCESSES & PRODUCT USE,Non-Energy Products from Fuels and Solvent Use ,,
INDUSTRIAL PROCESSES & PRODUCT USE,Other Product Manufacture and Use ,,
AGRICULTURE,Enteric Fermentation,,
AGRICULTURE,Manure Management,,
AGRICULTURE,Agriculture Soils,Direct Sources,
AGRICULTURE,Agriculture Soils,Indirect Sources,
AGRICULTURE,Field Burning of Agricultural Residues,,
AGRICULTURE,"Liming, Urea Application and Other Carbon-containing Fertilizers ",,
WASTE,Solid Waste Disposal,,
WASTE,Biological Treatment of Solid Waste,,
WASTE,Wastewater Handling,,
WASTE,Waste Incineration,,
AFFORESTATION & DEFORESTATION,Deforestation,,
AFFORESTATION & DEFORESTATION,Afforestation,,
AFFORESTATION & DEFORESTATION,Grassland converted to Cropland,,
AFFORESTATION & DEFORESTATION,Other Land converted to Wetlands,,
OTHER LAND USE,Forest Management,Forest growth minus decay,
OTHER LAND USE,Forest Management,Slash pile burning,
OTHER LAND USE,Forest Management,Wildfires,
OTHER LAND USE,Forest Management,Emissions from Decomposition of Harvested Wood Products,
OTHER LAND USE,Cropland Management,,
OTHER LAND USE,Wetland Management,,
OTHER LAND USE,Grassland Management,,
OTHER LAND USE,Settlement Management,,
